ticker,start_date,end_date
UTX,1996-01-02,2020-04-03
BFO,1996-01-02,2000-10-03
D,1996-01-02,
SHW,1996-01-02,
CSX,1996-01-02,
BLS,1996-01-02,2007-01-03
KRB,1996-01-02,2006-01-03
FCX,1996-01-02,
WY,1996-01-02,
CPQ,1996-01-02,2002-05-06
LPX,1996-01-02,2006-11-10
OMX,1996-01-02,2008-06-23
FWLT,1996-01-02,2000-01-31
USB,1996-01-02,
CCTYQ,1996-01-02,2008-03-31
CLX,1996-01-02,
PCAR,1996-01-02,
DTE,1996-01-02,
BMY,1996-01-02,
CBE,1996-01-02,2009-09-09
FBF,1996-01-02,2004-04-01
VFC,1996-01-02,2024-04-03
UAWGQ,1996-01-02,2002-05-15
FL,1996-01-02,1999-01-04
FDC,1996-01-02,2007-09-25
GT,1996-01-02,2019-02-27
BAC,1996-01-02,
PPW,1996-01-02,1999-11-30
BAX,1996-01-02,
MNR,1996-01-02,1998-09-28
GLK,1996-01-02,2005-07-05
DE,1996-01-02,
LOW,1996-01-02,
RNB,1996-01-02,2000-01-03
PNU,1996-01-02,2000-04-03
ATI,1996-01-02,2015-07-02
PZE,1996-01-02,1998-12-31
AR,1996-01-02,1999-10-27
BOAT,1996-01-02,1997-01-07
TDM,1996-01-02,1997-09-02
GRA,1996-01-02,2000-12-11
INTC,1996-01-02,
NC,1996-01-02,2000-06-05
RTN,1996-01-02,2020-04-06
TJX,1996-01-02,
CAT,1996-01-02,
SFS,1996-01-02,1997-07-28
ETR,1996-01-02,
PKI,1996-01-02,2023-05-16
HPQ,1996-01-02,
MTLQQ,1996-01-02,2009-06-03
JCP,1996-01-02,2013-12-02
KO,1996-01-02,
CRR,1996-01-02,1997-05-27
TRV,1996-01-02,
T,1996-01-02,
CG,1996-01-02,2000-11-02
WWY,1996-01-02,2008-10-07
WNDXQ,1996-01-02,2004-12-03
ANV,1996-01-02,1999-04-12
MS,1996-01-02,
IP,1996-01-02,
PD,1996-01-02,2007-03-20
FBO,1996-01-02,1996-03-13
CPB,1996-01-02,
LSI,1996-01-02,2014-05-07
LUB,1996-01-02,1997-01-02
WFC,1996-01-02,
CSCO,1996-01-02,
GPU,1996-01-02,2001-11-07
CVX,1996-01-02,
COV,1996-01-02,1996-08-16
TEN,1996-01-02,1999-11-05
DUK,1996-01-02,
KRI,1996-01-02,2006-06-28
NEE,1996-01-02,
KBH,1996-01-02,2009-12-21
OM,1996-01-02,1996-10-01
WAI,1996-01-02,1998-08-11
HI,1996-01-02,2003-03-31
HPC,1996-01-02,2008-11-14
AGN,1996-01-02,2020-05-12
CI,1996-01-02,
KEY,1996-01-02,
CMCSA,1996-01-02,
CNW,1996-01-02,1996-12-03
CFL,1996-01-02,1998-04-28
FJ,1996-01-02,2000-11-24
SB,1996-01-02,1997-11-28
HSY,1996-01-02,
FLTWQ,1996-01-02,2000-01-31
GP,1996-01-02,2005-12-20
HRS,1996-01-02,1999-11-08
COMS,1996-01-02,2000-07-28
ED,1996-01-02,
MII,1996-01-02,1999-06-22
AMD,1996-01-02,2013-09-23
CMI,1996-01-02,
NOC,1996-01-02,
GDW,1996-01-02,2006-10-02
